Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_NDX_rf,ois_fwd_raw,ois_fwd_NDX,spread_NDX,spread_NDX_filtered
2018-04-25,6555.75,543130.0,229472.0,JUN 18,2018-06-15,51.0,6580.75,1699.0,11285.0,SEP 18,2018-09-21,149.0,NDX,0.018147,352.0961549999997,0.0,366.8780469999997,0.0,386.30545499999965,14.78189199999997,34.20929999999993,14.800892828750419,34.33777031791367,0.006778256224721169,2.4899716743873683,0.004927349313866847,1.8100466867265967,67.99249876607716,0.6799249876607716
2018-04-26,6734.75,423193.0,233913.0,JUN 18,2018-06-15,50.0,6759.0,1066.0,11178.0,SEP 18,2018-09-21,148.0,NDX,0.018241,352.0961549999997,0.0,366.8780469999997,0.0,386.30545499999965,14.78189199999997,34.20929999999993,14.800616756386916,34.33756910071159,0.0064873878026219245,2.383122049942748,0.004953057122919269,1.8194903716846293,56.36316782581186,0.5636316782581186
2018-04-27,6669.75,475218.0,221940.0,JUN 18,2018-06-15,49.0,6693.75,1038.0,11061.0,SEP 18,2018-09-21,147.0,NDX,0.018275,352.2057109999997,0.0,366.8780469999997,0.0,386.30545499999965,14.672335999999973,34.09974399999993,14.690584208443862,34.226975117743265,0.006513094156622712,2.3925652003920166,0.0049625171942098145,1.8229654999138094,56.95997004782072,0.5695997004782072
2018-04-30,6613.0,386633.0,225356.0,JUN 18,2018-06-15,46.0,6636.5,687.0,11045.0,SEP 18,2018-09-21,144.0,NDX,0.0183235,352.2743159999997,0.0,366.8780469999997,0.0,386.30545499999965,14.603730999999982,34.03113899999994,14.62082712137361,34.15585291509324,0.0064932842291780535,2.3852880841878563,0.004976412434751554,1.8280698739903667,55.721821019748965,0.5572182101974896
2018-05-01,6692.0,360091.0,228152.0,JUN 18,2018-06-15,45.0,6715.25,531.0,10968.0,SEP 18,2018-09-21,143.0,NDX,0.018369,352.2743159999997,0.0,366.8780469999997,0.0,386.30545499999965,14.603730999999982,34.03113899999994,14.620496995921169,34.1552943790244,0.0063794868670843385,2.343484971582002,0.004988994644671507,1.8326919102874923,51.07930612945098,0.5107930612945097
2018-05-02,6633.5,378651.0,225883.0,JUN 18,2018-06-15,44.0,6657.25,540.0,10864.0,SEP 18,2018-09-21,142.0,NDX,0.018398,352.2743159999997,0.0,366.8780469999997,0.0,386.30545499999965,14.603730999999982,34.03113899999994,14.620150299290636,34.154620798799556,0.006510783427637001,2.391716361172776,0.004997107725918326,1.8356722258475484,55.60441353252274,0.5560441353252275
2018-05-03,6664.5,511415.0,228609.0,JUN 18,2018-06-15,43.0,6688.25,878.0,10797.0,SEP 18,2018-09-21,141.0,NDX,0.018403,352.2974149999997,0.0,366.8780469999997,0.0,386.30545499999965,14.58063199999998,34.00803999999994,14.596657106860992,34.130602283856774,0.006480508877040991,2.3805950976885275,0.004998717693683874,1.8362636425777499,54.43314551107776,0.5443314551107776
2018-05-04,6774.75,401793.0,231469.0,JUN 18,2018-06-15,42.0,6798.75,753.0,10721.0,SEP 18,2018-09-21,140.0,NDX,0.018497,354.0603659999997,0.0,366.8780469999997,0.0,386.30545499999965,12.817680999999993,32.24508899999995,12.831511170984985,32.36106294107303,0.006413116615755943,2.3558387568083057,0.005024451761284299,1.8457169735330077,51.0121783275298,0.510121783275298
2018-05-07,6826.0,322389.0,229033.0,JUN 18,2018-06-15,39.0,6851.0,842.0,10851.0,SEP 18,2018-09-21,137.0,NDX,0.01854,354.1018569999997,0.0,366.8780469999997,0.0,386.30545499999965,12.776189999999986,32.20359799999994,12.789020488807486,32.31720424284444,0.0065111211386448264,2.3918404182776913,0.005036883419651694,1.8502837051781733,54.1556713099518,0.541556713099518
2018-05-08,6820.5,369129.0,224063.0,JUN 18,2018-06-15,38.0,6845.5,373.0,10835.0,SEP 18,2018-09-21,136.0,NDX,0.0185665,354.27824799999973,0.0,366.8780469999997,0.0,386.30545499999965,12.599798999999962,32.02720699999992,12.612145525540342,32.13952659287784,0.006516413036846469,2.3937843808823764,0.005044328028830147,1.8530184595702583,54.07659213121181,0.5407659213121181
