Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_SPX_rf,ois_fwd_raw,ois_fwd_SPX,spread_SPX,spread_SPX_filtered
2016-01-26,1896.0,1776173.0,2870149.0,MAR 16,2016-03-18,52.0,1887.75,3802.0,23199.0,JUN 16,2016-06-17,143.0,SPX,0.00393,199.1248120000001,0.0,207.2204550000001,0.010718,218.51259300000015,8.095642999999995,19.387781000000047,8.09794081333816,19.402913970894755,0.001604420178224375,0.6347156749019506,0.0009928530570810778,0.39277703357053634,24.193864133141425,0.24193864133141424
2016-01-27,1875.0,2109008.0,2897826.0,MAR 16,2016-03-18,51.0,1867.0,4665.0,24840.0,JUN 16,2016-06-17,142.0,SPX,0.00387,199.2524850000001,0.0,207.2204550000001,0.010718,218.51259300000015,7.967970000000008,19.26010800000006,7.9701542197762585,19.27480827743106,0.0017550220061899324,0.6942944200311821,0.0009777139683169178,0.38678794350998946,30.750647652119266,0.3075064765211927
2016-01-28,1880.75,2249377.0,2872487.0,MAR 16,2016-03-18,50.0,1872.5,13152.0,35012.0,JUN 16,2016-06-17,141.0,SPX,0.003885,199.4205420000001,0.0,207.2204550000001,0.010718,218.51259300000015,7.799913000000004,19.092051000000055,7.8020173515281295,19.106576471051493,0.0016174079884794246,0.639853709728124,0.000981512059118339,0.3882904849259363,25.156322480218773,0.25156322480218773
2016-01-29,1930.0,2395768.0,2878549.0,MAR 16,2016-03-18,49.0,1922.0,6963.0,39264.0,JUN 16,2016-06-17,140.0,SPX,0.00381,199.4560650000001,0.0,207.2204550000001,0.010718,218.51259300000015,7.764389999999992,19.056528000000043,7.766403241623741,19.070645711160044,0.0017051810084067753,0.6745771022268562,0.0009625841532343582,0.38080252215864724,29.377458006820895,0.29377458006820895
2016-02-01,1931.25,1740254.0,2888962.0,MAR 16,2016-03-18,46.0,1923.0,4256.0,38881.0,JUN 16,2016-06-17,137.0,SPX,0.003985,199.5153620000001,0.0,207.2204550000001,0.010718,218.51259300000015,7.705093000000005,18.997231000000056,7.70705469527477,19.01163578233102,0.0015753732552556965,0.6232245844967591,0.0010068067840234285,0.39829718928399366,22.492739521276544,0.22492739521276545
2016-02-02,1897.5,2097985.0,2941058.0,MAR 16,2016-03-18,45.0,1889.0,4520.0,41156.0,JUN 16,2016-06-17,136.0,SPX,0.00384,199.5689790000001,0.0,207.2204550000001,0.010718,218.51259300000015,7.651476000000002,18.943614000000053,7.653312354240002,18.957354434688053,0.0014718196495080438,0.5822583228823031,0.0009702009702010628,0.38381576843118964,19.84425544511134,0.19844255445111342
2016-02-03,1908.5,2841210.0,2944156.0,MAR 16,2016-03-18,44.0,1899.75,11533.0,42806.0,JUN 16,2016-06-17,135.0,SPX,0.00391,200.2221600000001,0.0,207.2204550000001,0.010718,218.51259300000015,6.998295000000013,18.290433000000064,6.999967203710846,18.30384217369319,0.0013332680833770816,0.5274467143030213,0.0009878890099297433,0.3908132346974809,13.663347960554034,0.13663347960554034
2016-02-04,1907.75,2251965.0,2940610.0,MAR 16,2016-03-18,43.0,1899.0,8014.0,44566.0,JUN 16,2016-06-17,134.0,SPX,0.00388,200.6106310000001,0.0,207.2204550000001,0.010718,218.51259300000015,6.609824000000003,17.901962000000054,6.611355643105781,17.914889205670942,0.0013338827358992944,0.527689873542578,0.00098032345232002,0.38782026685187604,13.986960669070198,0.13986960669070198
2016-02-05,1875.25,2303794.0,2998346.0,MAR 16,2016-03-18,42.0,1866.5,7511.0,48692.0,JUN 16,2016-06-17,133.0,SPX,0.0039,200.6845210000001,0.0,207.2204550000001,0.010718,218.51259300000015,6.5359339999999975,17.82807200000005,6.537420924984998,17.84091564020338,0.0013569517400446873,0.5368160729847115,0.0009853849831658046,0.38982263070295564,14.699344228175582,0.14699344228175582
2016-02-08,1852.0,2667662.0,3013528.0,MAR 16,2016-03-18,39.0,1843.25,7700.0,52932.0,JUN 16,2016-06-17,130.0,SPX,0.00373,200.8654140000001,0.0,207.2204550000001,0.010718,218.51259300000015,6.355041,17.64717900000005,6.356324983075375,17.659063884857133,0.001373654162801774,0.5434236248446579,0.000942480270541779,0.3728493377967477,17.05742870479102,0.17057428704791017
