Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_INDU_rf,ois_fwd_raw,ois_fwd_INDU,spread_INDU,spread_INDU_filtered
2012-08-16,13225.0,96188.0,112267.0,SEP 12,2012-09-21,36.0,13141.0,78.0,157.0,DEC 12,2012-12-21,127.0,INDU,0.0014099999999999,831.1145110000001,0.0,861.5217640000002,0.0,960.3114060000001,30.407253000000082,129.19689500000004,30.409396711336584,129.22902734442732,0.0011180062561302329,0.4422881892383339,0.00035636641900160804,0.14098012180283395,30.130806743549996,0.3013080674355
2012-08-17,13247.0,63238.0,112107.0,SEP 12,2012-09-21,35.0,13163.0,40.0,153.0,DEC 12,2012-12-21,126.0,INDU,0.0014099999999999,831.1145110000001,0.0,861.5217640000002,0.0,960.3114060000001,30.407253000000082,129.19689500000004,30.409337163799457,129.2287743338413,0.0011161392101215473,0.44154957763050223,0.00035636781457859534,0.14098067389922453,30.05689037312777,0.3005689037312777
2012-08-20,13229.0,68977.0,112428.0,SEP 12,2012-09-21,32.0,13145.0,31.0,157.0,DEC 12,2012-12-21,123.0,INDU,0.0014099999999999,831.1145110000001,0.0,861.5217640000002,0.0,960.3114060000001,30.407253000000082,129.19689500000004,30.409158521188086,129.22801530208318,0.0011176106419019671,0.4421316825106683,0.0003563720013759486,0.140982330214661,30.114935229600732,0.3011493522960073
2012-08-21,13199.0,103835.0,113045.0,SEP 12,2012-09-21,31.0,13118.0,99.0,187.0,DEC 12,2012-12-21,122.0,INDU,0.0014299999999999,831.1145110000001,0.0,861.5217640000002,0.0,960.3114060000001,30.407253000000082,129.19689500000004,30.40912515767437,129.22820012541908,0.001346929012412179,0.5328510378773456,0.00036142771641456406,0.14298239330686052,38.986864457048505,0.38986864457048503
2012-08-22,13156.0,129720.0,110107.0,SEP 12,2012-09-21,30.0,13075.0,45.0,176.0,DEC 12,2012-12-21,121.0,INDU,0.00138,835.6829550000001,0.0,861.5217640000002,0.0,960.3114060000001,25.838809000000083,124.62845100000004,25.840294731517584,124.6573544149278,0.0013516367430526088,0.5347134368120211,0.0003487932221126755,0.13798413182479471,39.672930498722636,0.39672930498722636
2012-08-23,13039.0,113820.0,109777.0,SEP 12,2012-09-21,29.0,12959.0,68.0,170.0,DEC 12,2012-12-21,120.0,INDU,0.00139,835.6829550000001,0.0,861.5217640000002,0.0,960.3114060000001,25.838809000000083,124.62845100000004,25.840255614431737,124.65732325781504,0.0014402830249147236,0.56978229557066,0.00035132177283148103,0.13898443760366283,43.07978579669971,0.4307978579669971
2012-08-24,13156.0,106092.0,117004.0,SEP 12,2012-09-21,28.0,13074.0,88.0,169.0,DEC 12,2012-12-21,119.0,INDU,0.00133,840.4062610000001,0.0,861.5217640000002,0.0,960.3114060000001,21.115503000000103,119.90514500000006,21.116595140738603,119.93150248236,0.0012760687985278185,0.5048184257912249,0.0003361596705939718,0.13298624331190093,37.1832182479324,0.37183218247932404
2012-08-27,13107.0,74989.0,114674.0,SEP 12,2012-09-21,25.0,13024.0,153.0,253.0,DEC 12,2012-12-21,116.0,INDU,0.00133,840.4062610000001,0.0,861.5217640000002,0.0,960.3114060000001,21.115503000000103,119.90514500000006,21.11647812565948,119.93083800801479,0.0012046175785158653,0.47655200908319945,0.00033616339601971745,0.13298771710670143,34.3564291976498,0.343564291976498
2012-08-28,13086.0,90855.0,117447.0,SEP 12,2012-09-21,24.0,13004.0,54.0,261.0,DEC 12,2012-12-21,115.0,INDU,0.00135,842.6517670000001,0.0,861.5217640000002,0.0,960.3114060000001,18.869997000000126,117.65963900000008,18.870846149865127,117.68500935965946,0.0012830468462596833,0.5075789721466879,0.00034121929026409425,0.13498785109348785,37.25911210532,0.3725911210532
2012-08-29,13084.0,82619.0,118489.0,SEP 12,2012-09-21,23.0,13003.0,93.0,293.0,DEC 12,2012-12-21,114.0,INDU,0.001325,842.6517670000001,0.0,861.5217640000002,0.0,960.3114060000001,18.869997000000126,117.65963900000008,18.87079569883148,117.68432301176529,0.0013595133151111938,0.537829443340692,0.0003349022051535311,0.13248878445634196,40.53406588843501,0.4053406588843501
