bin,bin_mid,estimate,se,ci_low,ci_high,nobs,event,strategy,spec
"bin_[1,20]",10.5,384.46878521267286,138.9783356942337,112.0712472519748,656.8663231733709,120,2021-03-19,cip,DIRECT
"bin_[21,40]",30.5,243.59569470949648,177.0917074733797,-103.5040519383277,590.6954413573206,120,2021-03-19,cip,DIRECT
"bin_[41,60]",50.5,69.2973412532366,301.60508712882745,-521.8486295192652,660.4433120257384,120,2021-03-19,cip,DIRECT
"bin_[-60,-41]",-50.5,-10.605941367423942,3.657251784450758,-17.774154864947427,-3.4377278699004554,48,2021-03-19,eq_spot_fut,TOTAL
"bin_[-40,-21]",-30.5,-10.67408957428942,3.6532525380954555,-17.83446454895651,-3.513714599622327,48,2021-03-19,eq_spot_fut,TOTAL
"bin_[0,0]",0.0,-1.2469390158686484e-12,1.5709275687240378e-12,-4.325957050567763e-12,1.8320790188304656e-12,48,2021-03-19,eq_spot_fut,TOTAL
"bin_[1,20]",10.5,-0.5190144435994348,2.8955996371613213,-6.194389732435624,5.156360845236755,48,2021-03-19,eq_spot_fut,TOTAL
"bin_[21,40]",30.5,3.463627603940843,3.652881918604546,-3.696020956524067,10.623276164405752,48,2021-03-19,eq_spot_fut,TOTAL
"bin_[41,60]",50.5,7.632202407543865,5.093235325143126,-2.350538829736662,17.614943644824393,48,2021-03-19,eq_spot_fut,TOTAL
"bin_[-60,-41]",-50.5,9.403662847911363,6.699982401586686,-3.7283026591985404,22.535628355021267,48,2021-03-19,eq_spot_fut,DIRECT
"bin_[-40,-21]",-30.5,6.99883409522662,4.839761998375644,-2.487099421589642,16.48476761204288,48,2021-03-19,eq_spot_fut,DIRECT
"bin_[0,0]",0.0,1.656199879910834e-13,2.5748967204894174e-13,-3.390597692248424e-13,6.702997452070092e-13,48,2021-03-19,eq_spot_fut,DIRECT
"bin_[1,20]",10.5,1.311536876405647,2.4883908982379377,-3.565709284140711,6.188783036952005,48,2021-03-19,eq_spot_fut,DIRECT
"bin_[21,40]",30.5,5.655944676460372,3.078939180144375,-0.37877611662260335,11.690665469543347,48,2021-03-19,eq_spot_fut,DIRECT
"bin_[41,60]",50.5,7.56954153974792,5.153340927351523,-2.5310066778610647,17.670089757356905,48,2021-03-19,eq_spot_fut,DIRECT
"bin_[-60,-41]",-50.5,0.3702097278736556,6.829139331870547,-13.014903362592616,13.755322818339927,45,2021-03-19,tips_treas,TOTAL
"bin_[-40,-21]",-30.5,-0.352511451096148,4.432824468837907,-9.040847410018447,8.33582450782615,45,2021-03-19,tips_treas,TOTAL
"bin_[0,0]",0.0,1.7265803002111595e-12,1.2006229776488768e-12,-6.266407359806387e-13,4.079801336402957e-12,45,2021-03-19,tips_treas,TOTAL
"bin_[1,20]",10.5,-3.8803737827841083,3.599795471813651,-10.935972907538865,3.1752253419706475,45,2021-03-19,tips_treas,TOTAL
"bin_[21,40]",30.5,-5.294954455454022,4.247835496824133,-13.620712029229322,3.0308031183212787,45,2021-03-19,tips_treas,TOTAL
"bin_[41,60]",50.5,-11.904935544952881,6.730905957187456,-25.097511221040293,1.2876401311345322,45,2021-03-19,tips_treas,TOTAL
"bin_[-60,-41]",-50.5,-7.483904717561565,11.536097620935532,-30.09465605459521,15.12684661947208,45,2021-03-19,tips_treas,DIRECT
"bin_[-40,-21]",-30.5,-6.681715876385015,6.964895472777856,-20.332911003029615,6.9694792502595835,45,2021-03-19,tips_treas,DIRECT
"bin_[0,0]",0.0,2.233444078057938e-13,6.848329230655819e-13,-1.1189281214027467e-12,1.5656169370143341e-12,45,2021-03-19,tips_treas,DIRECT
"bin_[1,20]",10.5,-2.8309681106065536,3.0531778983260422,-8.815196791325597,3.153260570112489,45,2021-03-19,tips_treas,DIRECT
"bin_[21,40]",30.5,-4.6440109542623205,3.767465190603066,-12.02824272784433,2.7402208193196884,45,2021-03-19,tips_treas,DIRECT
"bin_[41,60]",50.5,-11.79745396562158,8.749077130531989,-28.945645141464276,5.3507372102211175,45,2021-03-19,tips_treas,DIRECT
"bin_[-60,-41]",-50.5,455.8935369275305,274.1441668659166,-81.42903012966599,993.2161039847269,45,2021-03-19,ust_spot_fut,TOTAL
"bin_[-40,-21]",-30.5,90.35360499209891,123.71376754314466,-152.1253793924646,332.83258937666244,45,2021-03-19,ust_spot_fut,TOTAL
"bin_[0,0]",0.0,2.5192569909004513e-10,7.7678325196822e-11,9.967618170427403e-11,4.0417521647581623e-10,45,2021-03-19,ust_spot_fut,TOTAL
"bin_[1,20]",10.5,520.5938695414851,140.26683988251617,245.6708633717534,795.5168757112168,45,2021-03-19,ust_spot_fut,TOTAL
"bin_[21,40]",30.5,328.97709162478134,214.96352991429163,-92.35142700723026,750.305610256793,45,2021-03-19,ust_spot_fut,TOTAL
"bin_[41,60]",50.5,-380.88247380632845,313.16717099573845,-994.6901289579758,232.92518134531895,45,2021-03-19,ust_spot_fut,TOTAL
"bin_[-60,-41]",-50.5,51.52451140158155,1293.1802890331332,-2483.1088551033595,2586.1578779065226,45,2021-03-19,ust_spot_fut,DIRECT
"bin_[-40,-21]",-30.5,-765.3958551692899,1266.1288460401151,-3247.0083934079157,1716.2166830693359,45,2021-03-19,ust_spot_fut,DIRECT
"bin_[0,0]",0.0,-1.6982650391352697e-10,7.591189289708747e-11,-3.1861381399181845e-10,-2.103919383523552e-11,45,2021-03-19,ust_spot_fut,DIRECT
"bin_[1,20]",10.5,465.1515908083938,185.56982847614864,101.43472699514246,828.8684546216451,45,2021-03-19,ust_spot_fut,DIRECT
"bin_[21,40]",30.5,294.40136221097856,229.24977216173355,-154.92819122601918,743.7309156479763,45,2021-03-19,ust_spot_fut,DIRECT
"bin_[41,60]",50.5,294.70461335443827,441.05211685217796,-569.7575356758305,1159.166762384707,45,2021-03-19,ust_spot_fut,DIRECT
"bin_[-60,-41]",-50.5,1003.1004030734181,362.0250636737655,293.53127827283777,1712.6695278739985,112,2021-03-31,cip,TOTAL
"bin_[-40,-21]",-30.5,106.02759309458412,79.23551528381978,-49.27401686170265,261.3292030508709,112,2021-03-31,cip,TOTAL
"bin_[0,0]",0.0,-265.17881808610935,195.0598112615024,-647.496048158654,117.13841198643536,112,2021-03-31,cip,TOTAL
"bin_[1,20]",10.5,-426.4153838948421,215.4527905150282,-848.7028533042974,-4.127914485386839,112,2021-03-31,cip,TOTAL
"bin_[21,40]",30.5,-652.3229618497531,264.7637036208992,-1171.2598209467155,-133.38610275279075,112,2021-03-31,cip,TOTAL
