term,estimate,se,ci_low,ci_high,n,event,tenor,spec
"bin_[21,40]",-1.4193473215818557,1.4700234099395948,-4.300593205063461,1.4618985618997502,60,2021-03-19,20,TOTAL
"bin_[41,60]",-10.660523479534703,1.7511127137543832,-14.092704398493293,-7.228342560576112,60,2021-03-19,20,TOTAL
"bin_[-40,-21]",2.464293913975794,1.9428672745830533,-1.3437259442069904,6.2723137721585775,60,2021-03-19,20,DIRECT
"bin_[-60,-41]",1.282030427333818,2.328651461556059,-3.282126437316058,5.846187291983694,60,2021-03-19,20,DIRECT
"bin_[1,20]",-2.6822485136918712,1.443322206776157,-5.51116003897314,0.14666301158939676,60,2021-03-19,20,DIRECT
"bin_[21,40]",-1.5376843367810837,1.2085703409970792,-3.906482205135359,0.8311135315731912,60,2021-03-19,20,DIRECT
"bin_[41,60]",-8.338718519390909,1.2397467503235295,-10.768622150025028,-5.908814888756791,60,2021-03-19,20,DIRECT
"bin_[-40,-21]",-7.833503246587443,0.763834843398618,-9.330619539648735,-6.336386953526152,56,2021-03-31,2,TOTAL
"bin_[-60,-41]",19.120679923208815,1.183107818177566,16.801788599580785,21.439571246836845,56,2021-03-31,2,TOTAL
"bin_[0,0]",-3.6578737474339933,1.2237000870409338,-6.056325918034224,-1.259421576833763,56,2021-03-31,2,TOTAL
"bin_[1,20]",-11.661451869171618,1.3652177019568763,-14.337278565007095,-8.98562517333614,56,2021-03-31,2,TOTAL
"bin_[21,40]",-10.928935452529824,1.774631464301636,-14.407213122561032,-7.4506577824986175,56,2021-03-31,2,TOTAL
"bin_[41,60]",2.2891273944655057,2.420163317383702,-2.45439270760655,7.032647496537562,56,2021-03-31,2,TOTAL
"bin_[-40,-21]",-5.665190617604942,6.539906838903987e-13,-5.665190617606224,-5.665190617603661,56,2021-03-31,2,DIRECT
"bin_[-60,-41]",24.689125143098963,1.7144073034581713e-12,24.689125143095602,24.689125143102324,56,2021-03-31,2,DIRECT
"bin_[0,0]",-4.908506950651025,5.696016305401128e-13,-4.908506950652141,-4.908506950649908,56,2021-03-31,2,DIRECT
"bin_[1,20]",-13.077212256615393,5.571861069804221e-13,-13.077212256616486,-13.0772122566143,56,2021-03-31,2,DIRECT
"bin_[21,40]",-12.350769409535513,6.92322088348698e-13,-12.35076940953687,-12.350769409534156,56,2021-03-31,2,DIRECT
"bin_[41,60]",-1.449677074633604,1.2447108620696794e-12,-1.4496770746360437,-1.4496770746311645,56,2021-03-31,2,DIRECT
"bin_[-40,-21]",-2.720170821100372,0.022914909152657145,-2.76508404303958,-2.675257599161164,56,2021-03-31,5,TOTAL
"bin_[-60,-41]",14.774072666378284,0.03389136536534039,14.707645590262217,14.840499742494352,56,2021-03-31,5,TOTAL
